GRAPHEME	PHONATION	PLACE	MANNER	ALIAS	EXTRA	NOTE
p	voiceless	bilabial	stop		Matthew	y
b	voiced	bilabial	stop		Matthew	y
t̯	voiceless	dental	stop		Matthew	y
d̯	voiced	dental	stop		Matthew	y
t	voiceless	alveolar	stop		Matthew	y
d	voiced	alveolar	stop		Matthew	y
ṭ	voiceless	retroflex	stop		Matthew	y
ḍ	voiced	retroflex	stop		Matthew	y
tʸ	voiceless	laminal	alveolar		Matthew	y
ƫ	voiceless	laminal	alveolar		Matthew	y
dʸ	voiced	laminal	alveolar		Matthew	y
ᶁ	voiced	laminal	alveolar		Matthew	y
k̯	voiceless	palatal	stop		Matthew	y
g̯	voiced	palatal	stop		Matthew	y
ɡ̯	voiced	palatal	stop		Matthew	y
k	voiceless	velar	stop		Matthew	y
g	voiced	velar	stop		Matthew	y
ɡ	voiced	velar	stop		Matthew	y
ḳ	voiceless	uvular	stop		Matthew	y
ɡ̣	voiced	uvular	stop		Matthew	y
g̣	voiced	uvular	stop		Matthew	y
ʔ	voiceless	glottal	stop		Matthew	y
?	voiceless	glottal	stop		Matthew	y
M	devoiced	voiced	bilabial		Matthew	y
m	voiced	bilabial	nasal		Matthew	y
ɱ	voiced	labio-dental	nasal		Matthew	Borrow
n̯	voiced	dental	nasal		Matthew	y
N	devoiced	voiced	alveolar		Matthew	y
n	voiced	alveolar	nasal		Matthew	y
ṇ	voiced	retroflex	nasal		Matthew	y
Ñ	devoiced	voiced	laminal		Matthew	y
ñ	voiced	laminal	alveolar		Matthew	y
ŋ̯	voiced	palatal	nasal		Matthew	y
Ŋ	devoiced	voiced	velar		Matthew	Descender Conflict
ŋ	voiced	velar	nasal		Matthew	y
ŋ̣	voiced	uvular	nasal		Matthew	y
p̃	devoiced	voiced	bilabial		Matthew	y
b̃	voiced	bilabial	trill		Matthew	y
r̯̠̃	devoiced	voiced	dental		Matthew	y
r̯̃	voiced	dental	trill		Matthew	y
R̃	devoiced	voiced	alveolar		Matthew	y
r̃	voiced	alveolar	trill		Matthew	y
Ṟ	devoiced	voiced	uvular		Matthew	Diff Underlines
R̠	devoiced	voiced	uvular		Matthew	Diff Underlines
R̲	devoiced	voiced	uvular		Matthew	Diff Underlines
R	voiced	uvular	trill		Matthew	SmallCap?
f̆	devoiced	voiced	labio-dental		Matthew	y
v̆	voiced	labio-dental	tap		Matthew	y
ř̠	devoiced	voiced	alveolar		Matthew	y
ř	voiced	alveolar	tap		Matthew	y
ř̠̣	devoiced	voiced	retroflex		Matthew	y
ṛ̌	voiced	retroflex	tap		Matthew	y
φ	voiceless	bilabial	fricative		Matthew	y
p̶	voiceless	bilabial	fricative		Matthew	y
β	voiced	bilabial	fricative		Matthew	y
b̶	voiced	bilabial	fricative		Matthew	y
f	voiceless	labio-dental	fricative		Matthew	y
v	voiced	labio-dental	fricative		Matthew	y
θ	voiceless	dental	fricative		Matthew	y
ð	voiced	dental	fricative		Matthew	y
d̶	voiced	dental	fricative		Matthew	y
x̯	voiceless	palatal	sibilant		Matthew	y
g̶̯	voiced	palatal	fricative		Matthew	y
ɡ̶̯	voiced	palatal	fricative		Matthew	y
x	voiceless	velar	fricative		Matthew	y
g̶	voiced	velar	fricative		Matthew	y
ɡ̶	voiced	velar	fricative		Matthew	y
x̣	voiceless	uvular	fricative		Matthew	y
ɡ̶̣	voiced	uvular	fricative		Matthew	y
g̶̣	voiced	uvular	fricative		Matthew	y
ħ	voiceless	pharyngeal	fricative		Matthew	Borrow
ʕ	voiced	pharyngeal	fricative		Matthew	y
h	voiceless	glottal	fricative		Matthew	y
ɦ	voiced	glottal	fricative		Matthew	Borrow
s̯	voiceless	dental	sibilant		Matthew	y
z̯	voiced	dental	sibilant		Matthew	y
s	voiceless	alveolar	sibilant		Matthew	y
z	voiced	alveolar	sibilant		Matthew	y
ṣ	voiceless	retroflex	sibilant		Matthew	y
ẓ	voiced	retroflex	sibilant		Matthew	y
š̯	advanced	voiceless	post-alveolar		Matthew	y
ž̯	advanced	voiced	post-alveolar		Matthew	y
š	voiceless	post-alveolar	sibilant		Matthew	y
ž	voiced	post-alveolar	sibilant		Matthew	y
š̯	voiceless	laminal	alveolar		Matthew	y
š̯ʸ	palatalized	voiceless	laminal		Matthew	y
ƚ̟	voiceless	alveolar	lateral		Matthew	y
ł	voiceless	alveolar	lateral		Matthew	y
l̟	voiced	alveolar	lateral		Matthew	y
ʋ	voiced	labio-dental	approximant		Matthew	y
ɹ	voiced	alveolar	approximant		Matthew	y
r	voiced	retroflex	approximant		Matthew	Probably Invalid
y	voiced	palatal	approximant		Matthew	y
ɰ	voiced	velar	approximant		Matthew	Borrow
ƚ	devoiced	voiced	alveolar		Matthew	y
l	voiced	alveolar	lateral		Matthew	y
ɭ	voiced	retroflex	lateral		Matthew	Borrow
ᶅ	voiced	laminal	alveolar		Matthew	y
ʎ	voiced	palatal	lateral		Matthew	Borrow
ly	voiced	palatal	lateral		Matthew	y
ʟ	voiced	velar	lateral		Matthew	y
pˀ	voiceless	bilabial	ejective		Matthew	y
